,total_bill,tip,size,sex_Female,smoker_No,day_Fri,day_Sat,day_Sun,day_Thur,time_Dinner
26,13.37,2.0,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
27,12.69,2.0,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
28,21.7,4.3,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
29,19.65,3.0,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0
30,9.55,1.45,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
31,18.35,2.5,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0
32,15.06,3.0,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0
33,20.69,2.45,4,1.0,1.0,0.0,1.0,0.0,0.0,1.0
34,17.78,3.27,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
35,24.06,3.6,3,0.0,1.0,0.0,1.0,0.0,0.0,1.0
36,16.31,2.0,3,0.0,1.0,0.0,1.0,0.0,0.0,1.0
37,16.93,3.07,3,1.0,1.0,0.0,1.0,0.0,0.0,1.0
38,18.69,2.31,3,0.0,1.0,0.0,1.0,0.0,0.0,1.0
39,31.27,5.0,3,0.0,1.0,0.0,1.0,0.0,0.0,1.0
40,16.04,2.24,3,0.0,1.0,0.0,1.0,0.0,0.0,1.0
41,17.46,2.54,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
42,13.94,3.06,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
43,9.68,1.32,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
44,30.4,5.6,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
45,18.29,3.0,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
46,22.23,5.0,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
47,32.4,6.0,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
48,28.55,2.05,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0
49,18.04,3.0,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
50,12.54,2.5,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
51,10.29,2.6,2,1.0,1.0,0.0,0.0,1.0,0.0,1.0
52,34.81,5.2,4,1.0,1.0,0.0,0.0,1.0,0.0,1.0
53,9.94,1.56,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
54,25.56,4.34,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
55,19.49,3.51,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
56,38.01,3.0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
57,26.41,1.5,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0
58,11.24,1.76,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
59,48.27,6.73,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0
60,20.29,3.21,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
61,13.81,2.0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
62,11.02,1.98,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
63,18.29,3.76,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
64,17.59,2.64,3,0.0,1.0,0.0,1.0,0.0,0.0,1.0
65,20.08,3.15,3,0.0,1.0,0.0,1.0,0.0,0.0,1.0
66,16.45,2.47,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0
67,3.07,1.0,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0
68,20.23,2.01,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
69,15.01,2.09,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
70,12.02,1.97,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
71,17.07,3.0,3,1.0,1.0,0.0,1.0,0.0,0.0,1.0
72,26.86,3.14,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0
73,25.28,5.0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0
74,14.73,2.2,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0
75,10.51,1.25,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
76,17.92,3.08,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
77,27.2,4.0,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0
78,22.76,3.0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
79,17.29,2.71,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
80,19.44,3.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,16.66,3.4,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
82,10.07,1.83,1,1.0,1.0,0.0,0.0,0.0,1.0,0.0
83,32.68,5.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84,15.98,2.03,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
85,34.83,5.17,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0
86,13.03,2.0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
87,18.28,4.0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
88,24.71,5.85,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
89,21.16,3.0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
90,28.97,3.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0
91,22.49,3.5,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0
92,5.75,1.0,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0
93,16.32,4.3,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0
94,22.75,3.25,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0
95,40.17,4.73,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0
96,27.28,4.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0
97,12.03,1.5,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0
98,21.01,3.0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0
99,12.46,1.5,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0
100,11.35,2.5,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0
101,15.38,3.0,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0
102,44.3,2.5,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0
103,22.42,3.48,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0
104,20.92,4.08,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0
105,15.36,1.64,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
106,20.49,4.06,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
107,25.21,4.29,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
108,18.24,3.76,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
109,14.31,4.0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0
110,14.0,3.0,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
111,7.25,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0
112,38.07,4.0,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0
113,23.95,2.55,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
114,25.71,4.0,3,1.0,1.0,0.0,0.0,1.0,0.0,1.0
115,17.31,3.5,2,1.0,1.0,0.0,0.0,1.0,0.0,1.0
116,29.93,5.07,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
117,10.65,1.5,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
118,12.43,1.8,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
119,24.08,2.92,4,1.0,1.0,0.0,0.0,0.0,1.0,0.0
120,11.69,2.31,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
121,13.42,1.68,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
122,14.26,2.5,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
123,15.95,2.0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
124,12.48,2.52,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
125,29.8,4.2,6,1.0,1.0,0.0,0.0,0.0,1.0,0.0
126,8.52,1.48,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
127,14.52,2.0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
128,11.38,2.0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
129,22.82,2.18,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0
130,19.08,1.5,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
131,20.27,2.83,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
132,11.17,1.5,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
133,12.26,2.0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
134,18.26,3.25,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
135,8.51,1.25,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
136,10.33,2.0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
137,14.15,2.0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
138,16.0,2.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
139,13.16,2.75,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
140,17.47,3.5,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
141,34.3,6.7,6,0.0,1.0,0.0,0.0,0.0,1.0,0.0
142,41.19,5.0,5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
143,27.05,5.0,6,1.0,1.0,0.0,0.0,0.0,1.0,0.0
144,16.43,2.3,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
145,8.35,1.5,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
146,18.64,1.36,3,1.0,1.0,0.0,0.0,0.0,1.0,0.0
147,11.87,1.63,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0
148,9.78,1.73,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
149,7.51,2.0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
150,14.07,2.5,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
151,13.13,2.0,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
152,17.26,2.74,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0
153,24.55,2.0,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
154,19.77,2.0,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
155,29.85,5.14,5,1.0,1.0,0.0,0.0,1.0,0.0,1.0
156,48.17,5.0,6,0.0,1.0,0.0,0.0,1.0,0.0,1.0
157,25.0,3.75,4,1.0,1.0,0.0,0.0,1.0,0.0,1.0
158,13.39,2.61,2,1.0,1.0,0.0,0.0,1.0,0.0,1.0
159,16.49,2.0,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
160,21.5,3.5,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
161,12.66,2.5,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
162,16.21,2.0,3,1.0,1.0,0.0,0.0,1.0,0.0,1.0
163,13.81,2.0,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
164,17.51,3.0,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0
165,24.52,3.48,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0
166,20.76,2.24,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
167,31.71,4.5,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
168,10.59,1.61,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0
169,10.63,2.0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0
170,50.81,10.0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0
171,15.81,3.16,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
172,7.25,5.15,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
173,31.85,3.18,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
174,16.82,4.0,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
175,32.9,3.11,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
176,17.89,2.0,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
177,14.48,2.0,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
178,9.6,4.0,2,1.0,0.0,0.0,0.0,1.0,0.0,1.0
179,34.63,3.55,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
180,34.65,3.68,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0
181,23.33,5.65,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
182,45.35,3.5,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0
183,23.17,6.5,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0
184,40.55,3.0,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
185,20.69,5.0,5,0.0,1.0,0.0,0.0,1.0,0.0,1.0
186,20.9,3.5,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0
187,30.46,2.0,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0
188,18.15,3.5,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0
189,23.1,4.0,3,0.0,0.0,0.0,0.0,1.0,0.0,1.0
190,15.69,1.5,2,0.0,0.0,0.0,0.0,1.0,0.0,1.0
191,19.81,4.19,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0
192,28.44,2.56,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
193,15.48,2.02,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
194,16.58,4.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
195,7.56,1.44,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0
196,10.34,2.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
197,43.11,5.0,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0
198,13.0,2.0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0
199,13.51,2.0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
200,18.71,4.0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0
201,12.74,2.01,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0
202,13.0,2.0,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0
203,16.4,2.5,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0
204,20.53,4.0,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0
205,16.47,3.23,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0
206,26.59,3.41,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0
207,38.73,3.0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
208,24.27,2.03,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
209,12.76,2.23,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0
210,30.06,2.0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0
211,25.89,5.16,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
212,48.33,9.0,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0
213,13.27,2.5,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0
214,28.17,6.5,3,1.0,0.0,0.0,1.0,0.0,0.0,1.0
215,12.9,1.1,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0
216,28.15,3.0,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0
217,11.59,1.5,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
218,7.74,1.44,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
219,30.14,3.09,4,1.0,0.0,0.0,1.0,0.0,0.0,1.0
220,12.16,2.2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
221,13.42,3.48,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0
222,8.58,1.92,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0
223,15.98,3.0,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0
224,13.42,1.58,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0
225,16.27,2.5,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0
226,10.09,2.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0
227,20.45,3.0,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0
228,13.28,2.72,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
229,22.12,2.88,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0
230,24.01,2.0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0
231,15.69,3.0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0
232,11.61,3.39,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
233,10.77,1.47,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
234,15.53,3.0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
235,10.07,1.25,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
236,12.6,1.0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
237,32.83,1.17,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
238,35.83,4.67,3,1.0,1.0,0.0,1.0,0.0,0.0,1.0
239,29.03,5.92,3,0.0,1.0,0.0,1.0,0.0,0.0,1.0
240,27.18,2.0,2,1.0,0.0,0.0,1.0,0.0,0.0,1.0
241,22.67,2.0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0
242,17.82,1.75,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
243,18.78,3.0,2,1.0,1.0,0.0,0.0,0.0,1.0,1.0
